Go on.,Poursuis.
What's the most fun you've ever had?,Quelle est la plus grosse partie de plaisir que vous ayez eue ?
What's the nature of your emergency?,Quelle est la nature de votre urgence ?
What's the world's highest mountain?,Quelle est la montagne la plus haute au monde ?
What's the world's highest mountain?,Quelle est la montagne la plus haute du monde ?
What's your favorite breakfast food?,Qu’est-ce que vous préférez manger au petit déjeuner ?
What's your favorite breakfast food?,Qu’est-ce que tu préfères manger au petit déjeuner ?
What's your favorite lipstick brand?,Quelle est ta marque de rouge à lèvres préférée ?
What's your favorite lipstick color?,Quelle est ta couleur de rouge à lèvres préférée ?
What's your favorite tongue twister?,Quel est ton virelangue préféré ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui s'est passé ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui s'est passé ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui est survenu ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui est survenu ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui a eu lieu ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui a eu lieu ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui est arrivé ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui est arrivé ?
Whatever can go wrong will go wrong.,Tout ce qui peut aller de travers le fera.
Whatever can go wrong will go wrong.,Tout ce qui peut foirer foirera.
"When I grow up, I want to be a king.","Lorsque je serai grand, je veux être roi."
"When I heard that, I started to cry.","Quand j'ai entendu cela, j'ai commencé à pleurer."
When did you begin studying English?,Quand as-tu commencé à apprendre l'anglais ?
When did you begin studying English?,Quand avez-vous commencé à apprendre l'anglais ?
When did you begin to learn English?,Quand as-tu commencé à apprendre l'anglais ?
When did you begin to learn English?,Quand avez-vous commencé à apprendre l'anglais ?
When did you start wearing contacts?,Quand as-tu commencé à porter des lentilles de contact ?
When did you start wearing contacts?,Quand avez-vous commencé à porter des lentilles de contact ?
When will the new magazine come out?,Quand le nouveau magazine paraîtra-t-il ?
When will you get through with work?,Quand en aurez-vous terminé avec le travail ?
When will you get through with work?,Quand en auras-tu terminé avec le travail ?
When would it be convenient for you?,Quand est-ce que ça vous arrangera ?
When would it be convenient for you?,Quand est-ce que ça vous arrange ?
"When you love what you do, it shows.","Quand tu aimes ce que tu fais, ça se voit."
"Whenever I see this, I remember him.","Chaque fois que je vois ça, je me souviens de lui."
Where did you find such an ugly hat?,Où as-tu dégoté un chapeau aussi laid ?
Where did you get that orange scarf?,Où as-tu eu cette écharpe orange ?
Where did you get that orange scarf?,Où est-ce que tu as eu cette écharpe orange ?
Where did you learn to speak French?,Où as-tu appris à parler français ?
Where did you learn to speak French?,Où avez-vous appris à parler français ?
Where is the nearest police station?,Où est le poste de police le plus proche ?
"Where there's a will, there's a way.",Vouloir c'est pouvoir.
"Where there's a will, there's a way.","Là où il y a une volonté, il y a un chemin."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenu."
"Wherever you go, you'll be welcomed.","Partout où tu iras, tu seras bienvenu."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenue."
"Wherever you go, you'll be welcomed.","Partout où tu iras, tu seras bienvenue."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenus."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenues."
Which applications do you like best?,Quelles applications préférez-vous ?
Which applications do you like best?,Quelles applications préfères-tu ?
Which plan do you believe is better?,"Quel est le meilleur plan, selon toi ?"
Which shoes are you going to put on?,Quelles chaussures vas-tu mettre ?
Which shoes are you going to put on?,Quelles chaussures allez-vous mettre ?
"While reading a book, I fell asleep.","En lisant un livre, je me suis endormi."
Who are you spending Christmas with?,Avec qui passes-tu Noël ?
Who are you spending Christmas with?,Avec qui passez-vous Noël ?
Who are you? What're you doing here?,Qui es-tu ? Que fais-tu ici ?
Who are you? What're you doing here?,Qui êtes-vous ? Que faites-vous ici ?
Who could resist an offer like that?,Qui pourrait résister à une offre pareille ?
Who could resist an offer like that?,Qui pourrait résister à une offre comme ça ?
"Who kissed Tom first, Mary or Alice?","Qui a embrassé Tom la première, Mary ou Alice ?"
Who told you that we should do that?,Qui vous a dit que nous devrions faire cela ?
Who told you that we should do that?,Qui t'a dit qu'on devrait faire ça ?
Who was the man you were talking to?,Qui est l'homme à qui vous parliez ?
Who was the man you were talking to?,Qui est l'homme à qui tu parlais ?
Who would you recommend for the job?,Qui recommanderais-tu pour le travail ?
Who would you recommend for the job?,Qui recommanderiez-vous pour le travail ?
Who's Tom? Is he your new boyfriend?,Qui est Tom? C'est ton nouveau copain ?
Who's the composer of this symphony?,Qui est le compositeur de cette symphonie ?
Who's the girl in a yellow raincoat?,Qui est la fille avec l'imperméable jaune ?
Why are people afraid of the police?,Pourquoi les gens ont-ils peur de la police ?
Why are people scared of the police?,Pourquoi les gens ont-ils peur de la police ?
Why are we still talking about this?,Pourquoi en parlons-nous encore ?
Why are we still talking about this?,Pourquoi parlons-nous encore de ça ?
Why are you looking at me like that?,Pourquoi me regardez-vous ainsi ?
Why are you looking at me like that?,Pourquoi me regardes-tu ainsi ?
Why are you picking a fight with me?,Pourquoi me cherchez-vous querelle ?
Why are you picking a fight with me?,Pourquoi me cherches-tu querelle ?
Why are you staring at me like that?,Pourquoi me fixes-tu comme ça ?
Why are you trying to make me laugh?,Pourquoi essaies-tu de me faire rire ?
Why are you trying to make me laugh?,Pourquoi essayez-vous de me faire rire ?
Why did you become a police officer?,Pourquoi êtes-vous devenu agent de police ?
Why did you go over my head on this?,Pourquoi m'es-tu passé par-dessus pour ça ?
Why did you invite Tom to the party?,Pourquoi as-tu invité Tom à la fête ?
Why did you wait so long to kiss me?,Pourquoi as-tu attendu si longtemps pour m'embrasser ?
Why did you wait so long to kiss me?,Pourquoi avez-vous attendu si longtemps pour m'embrasser ?
Why didn't you tell me that earlier?,Pourquoi ne m'as-tu pas dit cela plus tôt ?
Why didn't you tell me that earlier?,Pourquoi ne m'avez-vous pas dit cela plus tôt ?
Why do we have to decide this today?,Pourquoi devons-nous décider ceci aujourd'hui ?
Why do we have to do this right now?,Pourquoi devons-nous faire ceci immédiatement ?
Why don't they just come and get us?,Pourquoi ne viennent-ils pas simplement nous arrêter ?
Why don't they just come and get us?,Pourquoi ne viennent-elles pas simplement nous prendre ?
Why don't we just sit here and talk?,Pourquoi ne nous asseyons-nous pas ici pour parler ?
Why don't we start at the beginning?,Pourquoi ne commençons-nous pas par le début ?
Why don't we start at the beginning?,Pourquoi ne commençons-nous pas au commencement ?
Why don't you play something for me?,Pourquoi ne joues-tu pas quelque chose pour moi ?
Why don't you play something for me?,Pourquoi ne jouez-vous pas quelque chose pour moi ?
Why don't you play something for me?,Pourquoi ne me joues-tu pas quelque chose ?
Why don't you play something for me?,Pourquoi ne me jouez-vous pas quelque chose ?
Why don't you sing something for me?,Pourquoi ne chantes-tu pas quelque chose pour moi ?
Why don't you sing something for me?,Pourquoi ne chantez-vous pas quelque chose pour moi ?
Why don't you sit down for a moment?,Pourquoi ne t'assieds-tu pas un moment ?
Why don't you sit down for a moment?,Pourquoi ne vous asseyez-vous pas un moment ?
Why don't you take your temperature?,Pourquoi ne prends-tu pas ta température ?
Why is alternative energy important?,Pourquoi les énergies alternatives sont-elles importantes ?
Why is it that you hate Tom so much?,Pourquoi est-ce que tu détestes tant Tom ?
Why is this knife not in the drawer?,Pourquoi ce couteau n'est-il pas dans le tiroir ?
Why not try some of that white wine?,Pourquoi ne pas essayer un peu de ce vin blanc ?
Why would anyone do that on purpose?,Pourquoi quiconque ferait-il cela à dessein ?
Why would anyone do that on purpose?,Pourquoi quiconque le ferait-il exprès ?
Will there be any food at the party?,Y aura-t-il la moindre nourriture à la fête ?
Will you give me a ride to my hotel?,M'accompagneras-tu à mon hôtel ?
Will you give me a ride to my hotel?,M'accompagnerez-vous à mon hôtel ?
Will you give me something to drink?,Me donnerez-vous quelque chose à boire ?
Will you glance through this report?,Jetterez-vous un œil sur ce rapport ?
Will you glance through this report?,Jetteras-tu un œil sur ce rapport ?
Will you lend your dictionary to me?,Tu me prêtes ton dictionnaire ?
Will you please check these figures?,"Peux-tu vérifier ces chiffres, s'il te plaît?"
Will you please put the baby to bed?,"Veux-tu mettre le bébé au lit, je te prie ?"
Will you please put the baby to bed?,"Voulez-vous mettre le bébé au lit, je vous prie ?"
Will you teach me how to play chess?,Pourriez-vous m'apprendre à jouer aux échecs ?
"Without your help, I have no chance.","Sans votre aide, je n'ai aucune chance."
"Without your help, I have no chance.","Sans ton aide, je n'ai aucune chance."
Would you excuse me just one moment?,Voudriez-vous m'excuser un moment ?
Would you like another piece of pie?,Voudriez-vous un autre part de tarte ?
Would you like another piece of pie?,Voudriez-vous un autre part de tourte ?
Would you like me to call you a cab?,Voudrais-tu que je t'appelle un taxi ?
Would you like me to tell the truth?,Voulez-vous que je dise la vérité ?
Would you like me to tell the truth?,Veux-tu que je dise la vérité ?
Would you like more mashed potatoes?,Voudriez-vous davantage de purée de pommes-de-terre ?
Would you like more mashed potatoes?,Voudrais-tu davantage de purée de pommes-de-terre ?
Would you like to eat lunch with me?,Souhaitez-vous déjeuner avec moi ?
Would you like to go hiking with us?,Tu veux faire une randonnée avec nous ?
Would you like to have a cup of tea?,Voulez-vous une tasse de thé ?
Would you like to have another beer?,Voudriez-vous une autre bière ?
Would you like to have another beer?,Voudrais-tu une autre bière ?
Would you mind if I went home early?,Verrais-tu un inconvénient à ce que je rentre tôt à la maison ?
Would you mind if I went home early?,Verriez-vous un inconvénient à ce que je rentre tôt chez moi ?
Would you mind speaking more slowly?,Pourriez-vous parler un peu plus lentement ?
Would you mind telling me one thing?,Cela te dérangerait-il de me dire un truc ?
Would you mind telling me one thing?,Cela vous dérangerait-il de me dire un truc ?
Would you please fill out this form?,"Veuillez, s'il vous plait, remplir ce formulaire ?"
Would you please show me that skirt?,"Pourriez-vous me montrer cette jupe, s'il vous plaît ?"
Would you sing us a song in English?,Voudriez-vous nous chanter une chanson en anglais ?
Would you sing us a song in English?,Voudrais-tu nous chanter une chanson en anglais ?
"Would you speak more slowly, please?","Peux-tu parler un peu plus lentement, s'il te plaît ?"
Wouldn't you like to drink some tea?,Ne voulez-vous pas boire un peu de thé ?
Wouldn't you like to drink some tea?,Tu ne voudrais pas boire un peu de thé ?
"Write with a pen, not with a pencil.","Écris avec un stylo, non avec un crayon."
Writers often refer to a dictionary.,Les écrivains se réfèrent souvent à un dictionnaire.
"You and Tom are good friends, right?","Tom et toi êtes de bons amis, non ?"
You and Tom are made to be together.,Tom et toi êtes faits pour être ensemble.
You and Tom are made to be together.,"Tom et toi, vous êtes faits pour être ensemble."
You are doing very well. Keep it up.,Tu te débrouilles très bien. Continue.
You are going to have to pay for it.,Il va falloir que vous le payiez.
You are responsible for what you do.,Tu es responsable de ce que tu fais.
You are responsible for what you do.,Vous êtes responsables de ce que vous faites.
You are responsible for what you do.,Vous êtes responsable de ce que vous faites.
"You both want the same thing, right?","Vous souhaitez tous les deux la même chose, non ?"
"You both want the same thing, right?","Vous souhaitez toutes les deux la même chose, non ?"
You can eat lunch here in this room.,Tu peux déjeuner ici dans cette chambre.
You can have this watch for nothing.,Vous pouvez avoir cette montre pour rien.
You can't be too careful these days.,"On ne saurait être trop prudent, de nos jours."
You can't be too careful these days.,"On ne saurait être trop prudente, de nos jours."
You can't both be telling the truth.,Vous ne pouvez pas tous les deux dire la vérité.
You can't buy it anywhere but there.,Vous ne pouvez l'acheter à d'autre endroit que là.
You can't judge a book by its cover.,On ne peut pas juger un livre sur sa couverture.
You can't judge a book by its cover.,On ne doit pas juger un livre sur sa reliure.
You can't judge a book by its cover.,On ne doit pas juger un livre d'après sa reliure.
You can't just leave me here to die.,Vous ne pouvez pas simplement me laisser mourir ici.
You can't just leave me here to die.,Tu ne peux pas simplement me laisser mourir ici.
You can't really blame Tom for that.,Vous ne pouvez pas blâmer Tom pour cela.
You can't really blame Tom for that.,Tu ne peux pas reprocher ça à Tom.
You did something incredibly stupid.,Tu as fait quelque chose d'incroyablement stupide.
You did something incredibly stupid.,Vous avez fait quelque chose d'incroyablement stupide.
"You didn't come here alone, did you?","Vous n'êtes pas venu ici seul, si ?"
"You didn't come here alone, did you?","Vous n'êtes pas venue ici seule, si ?"
"You didn't come here alone, did you?","Tu n'es pas venu ici seul, si ?"
"You didn't come here alone, did you?","Vous n'êtes pas venues ici seules, si ?"
"You didn't come here alone, did you?","Vous n'êtes pas venus ici seuls, si ?"
"You didn't come here alone, did you?","Tu n'es pas venue ici seule, si ?"
You didn't tell the story very well.,Tu n'as pas très bien raconté l'histoire.
You didn't tell the story very well.,Vous n'avez pas très bien raconté l'histoire.
"You don't have a lot to say, do you?","Vous n'avez pas grand-chose à dire, non ?"
"You don't have a lot to say, do you?","Tu n'as pas grand-chose à dire, non ?"
"You don't have to buy water, do you?","Il ne vous faut pas acheter d'eau, si ?"
"You don't have to buy water, do you?","Il ne te faut pas acheter d'eau, si ?"
You don't have to do it immediately.,Tu n'as pas besoin de le faire tout de suite.
You don't have to do it immediately.,Tu n'es pas obligé de le faire immédiatement.
You don't kick a man when he's down.,On ne frappe pas un homme à terre.
"You don't know what this is, do you?","Tu ne sais pas ce que c'est, n'est-ce pas ?"
"You don't know what this is, do you?","Vous ignorez ce dont ils s'agit, n'est-ce pas ?"
"You don't know what this is, do you?","Vous ne savez pas ce que c'est, n'est-ce pas ?"
You don't need millions to be happy.,Vous n'avez pas besoin de gagner des millions pour être heureux.
You don't need millions to be happy.,On n'a pas besoin de millions pour être heureux.
You don't need to flatter your boss.,Tu n'as pas besoin de flatter ton patron.
You don't need to suffer in silence.,Tu ne dois pas souffrir en silence.
You don't realize how lucky you are.,Tu ne connais pas ta chance.
"You don't think I can do it, do you?","Tu ne penses pas que je puisse le faire, n'est-ce pas ?"
"You don't think I can do it, do you?","Vous ne pensez que je puisse le faire, n'est-ce pas ?"
You don't want to go down this road.,Tu ne veux pas t'embarquer là-dedans.
"You got what you wanted, didn't you?","Tu as eu ce que tu voulais, n'est-ce pas ?"
"You got what you wanted, didn't you?","Vous avez eu ce que vous vouliez, n'est-ce pas ?"
"You guys love each other, don't you?","Vous vous aimez, n'est-ce pas ?"
You have overstepped your authority.,Tu as outrepassé ton autorité.
You have overstepped your authority.,Vous avez outrepassé votre autorité.
"You have such beautiful, hazel eyes.",Vous avez de si beaux yeux châtains.
You have the right to remain silent.,Vous avez le droit de garder le silence.
You have to allow for the boy's age.,Vous devez considérer l'âge du garçon.
You have to be home by nine o'clock.,Tu dois rentrer pour 21 h 00.
You have to choose your own destiny.,Il te faut choisir ton propre destin.
You have to choose your own destiny.,Il te faut choisir ta propre destinée.
You have to choose your own destiny.,Il vous faut choisir votre propre destin.
You have to choose your own destiny.,Il vous faut choisir votre propre destinée.
You have to learn how to compromise.,Vous devez apprendre à faire des compromis.
You have to learn how to compromise.,Tu dois apprendre à faire des compromis.
You have too many irons in the fire.,Vous avez trop de fers au feu.
You have too many irons in the fire.,Tu as trop de fers au feu.
"You know this is illegal, don't you?","Tu sais que c'est illégal, n'est-ce pas ?"
"You know this is illegal, don't you?","Vous savez que c'est illégal, n'est-ce pas ?"
"You like classical music, don't you?","Tu aimes la musique classique, n'est-ce pas ?"
You may bring whoever wants to come.,Tu peux emmener qui veut venir.
You may never be able to walk again.,Tu ne pourras peut-être plus jamais remarcher.
You may never be able to walk again.,Vous ne serez peut-être plus jamais en mesure de marcher à nouveau.
You must gather further information.,Vous devez recueillir des informations complémentaires.
You must keep the promises you make.,Tu dois tenir les promesses que tu fais.
You must keep the promises you make.,Vous devez tenir les promesses que vous faites.
You must think I'm a complete idiot.,Vous devez penser que je suis un parfait idiot.
You must think I'm a complete idiot.,Vous devez penser que je suis une parfaite idiote.
You must think I'm a complete idiot.,Tu dois penser que je suis un parfait idiot.
You must think I'm a complete idiot.,Tu dois penser que je suis une parfaite idiote.
You need a keycard to open the door.,Il te faut une carte magnétique pour ouvrir la porte.
You need a keycard to open the door.,Il vous faut une carte magnétique pour ouvrir la porte.
You need to be here for your family.,Il faut que vous soyez là pour votre famille.
You need to be here for your family.,Il faut que tu sois là pour ta famille.
You need to focus on your strengths.,Il vous faut vous concentrer sur vos points forts.
You need to focus on your strengths.,Il te faut te concentrer sur tes points forts.
You never know when you'll need one.,On ne sait jamais quand on aura besoin de quelqu'un.
You never told me about this before.,Tu ne m'as jamais parlé de ça avant.
You never told me about this before.,Vous ne m'en avez jamais parlé auparavant.
You never told me you had a brother.,Tu ne m'as jamais dit que tu avais un frère.
You never told me you had a brother.,Vous ne m'aviez jamais dit que vous aviez un frère.
You ought to have been more careful.,Tu aurais dû être plus prudent.
You ought to have been more careful.,Vous auriez dû faire montre de davantage de prudence.
You promised me that you would help.,Tu m'as promis que tu aiderais.
You promised me that you would help.,Vous m'avez promis que vous aideriez.
You really should enter the contest.,Vous devriez vraiment participer au concours.
You really should enter the contest.,Tu devrais vraiment participer au concours.
You really shouldn't have done that.,Tu n'aurais vraiment pas dû faire ça.
You really shouldn't have done that.,Vous n'auriez vraiment pas dû faire cela.
You should acknowledge your failure.,Tu devrais reconnaître ton échec.
You should be ashamed of yourselves.,Vous devriez avoir honte de vous.
You should buy an answering machine.,Vous devriez acheter un répondeur.
You should buy yourself a new knife.,Tu devrais t'acheter un nouveau couteau.
You should buy yourself a new knife.,Vous devriez vous acheter un nouveau couteau.
You should go out and have some fun.,Tu devrais sortir et t'amuser.
You should go out and have some fun.,Vous devriez sortir et vous amuser.
You should have accepted his advice.,Tu aurais dû accepter son conseil.
You should have accepted his advice.,Vous aurez dû accepter son conseil.
You should have breakfast every day.,Vous devriez prendre un petit-déjeuner tous les jours.
You should have breakfast every day.,Tu devrais prendre un petit-déjeuner tous les jours.
You should have taken a chance then.,"Tu aurais dû saisir la chance, alors."
You should have told me that before.,Tu aurais dû me dire ça avant.
You should have told me that before.,Vous auriez dû me dire ça avant.
You should learn from your mistakes.,On devrait apprendre de ses erreurs.
You should learn from your mistakes.,Tu devrais apprendre de tes erreurs.
You should learn from your mistakes.,Vous devriez apprendre de vos erreurs.
You should not give him up for lost.,Vous ne devriez pas le tenir pour perdu.
You should not give him up for lost.,Tu ne devrais pas le tenir pour perdu.
You should take the time to do that.,Vous devriez prendre le temps de faire cela.
You should take the time to do that.,Tu devrais prendre le temps de faire ça.
You should think of their religions.,Vous devriez penser à leurs religions.
You should turn off your cell phone.,Tu devrais éteindre ton téléphone portable.
You should turn off your cell phone.,Vous devriez éteindre votre téléphone portable.
You should've come a little earlier.,Tu aurais dû venir un peu plus tôt.
You should've come a little earlier.,Vous auriez dû venir un peu plus tôt.
You should've done that by yourself.,Tu aurais pu faire ça tout seul.
You should've done that by yourself.,Vous auriez pu faire ça toutes seules.
You still haven't told me who he is.,Tu ne m'as pas encore dit qui il est.
You still haven't told me who he is.,Tu ne m'as toujours pas dit qui il est.
You still haven't told me who he is.,Vous ne m'avez toujours pas dit qui il est.
You still haven't told me who he is.,Vous ne m'avez pas encore dit qui il est.
"You take me for a sucker, don't you?","Tu me prends pour un con, non ?"
"You take me for a sucker, don't you?","Vous me prenez pour un con, non ?"
"You were hoping to win, weren't you?","Tu espérais gagner, n'est-ce pas ?"
"You were hoping to win, weren't you?","Vous espériez gagner, n'est-ce pas ?"
You were the last person to see Tom.,Vous étiez la dernière personne à avoir vu Tom.
You will soon cease to think of her.,Bientôt tu ne penseras plus à elle.
You will soon cease to think of her.,Tu cesseras bientôt de penser à elle.
You won't believe who came by today.,Tu ne croiras pas qui est venu aujourd'hui.
You won't believe who came by today.,Vous ne croirez pas qui est venu aujourd'hui.
You'd make a good private detective.,Tu ferais une bonne détective privée.
You'd make a good private detective.,Vous feriez un bon détective privé.
You'll find the book in the library.,Vous trouverez le livre à la bibliothèque.
You're always finding fault with me.,Tu trouves toujours des reproches à me faire.
You're always finding fault with me.,Tu as toujours quelque chose à me reprocher.
You're always finding fault with me.,Vous avez toujours quelque chose à me reprocher.
You're comparing apples and oranges!,Tu compares des choux et des carottes !
You're comparing apples and oranges.,Tu compares des choux et des carottes !
You're going to be very proud of me.,Tu vas être très fier de moi.
"You're hiding something, aren't you?","Tu me caches quelque chose, toi."
"You're in love with Tom, aren't you?","Tu es amoureux de Tom, n'est-ce pas?"
You're kind of cute when you're mad.,Tu es assez mignonne quand tu es en colère.
You're kind of cute when you're mad.,Vous êtes assez mignonne quand vous êtes en colère.
You're kind of cute when you're mad.,Vous êtes assez mignon quand vous êtes en colère.
You're kind of cute when you're mad.,Vous êtes assez mignonnes quand vous êtes en colère.
You're kind of cute when you're mad.,Vous êtes assez mignons quand vous êtes en colère.
You're kind of cute when you're mad.,Tu es assez mignon quand tu es en colère.
You're lucky nobody saw you do that.,Tu es chanceux que personne ne t'ait vu faire ça.
You're lucky nobody saw you do that.,Tu es chanceuse que personne ne t'ait vue faire ça.
You're lucky nobody saw you do that.,Vous êtes chanceux que personne ne vous ait vu faire ça.
You're lucky nobody saw you do that.,Vous êtes chanceuse que personne ne vous ait vue faire ça.
You're the only one who can do this.,Tu es le seul à pouvoir faire ça.
You're the only one who can help me.,Vous êtes le seul à pouvoir m'aider.
You're the only one who can help me.,Tu es le seul à pouvoir m'aider.
You're the only one who can help me.,Tu es la seule à pouvoir m'aider.
You're the only one who can help me.,Vous êtes la seule à pouvoir m'aider.
You're the only one who can help me.,Tu es le seul qui puisse m'aider.
You're three years younger than Tom.,Tu as trois ans de moins que Tom.
You're too clever for your own good.,Vous êtes trop intelligent pour votre sécurité.
You've barely said a word all night.,Tu n'as pas décroché un mot de toute la nuit.
You've got to take care of yourself.,Il vous faut prendre soin de vous.
You've got to take care of yourself.,Il te faut prendre soin de toi.
You've got to tell Tom how you feel.,Tu dois dire à Tom ce que tu ressens.
You've got to tell Tom how you feel.,Vous devez dire à Tom ce que vous ressentez.
You've never seen a genuine diamond.,Tu n'as jamais vu un véritable diamant.
"You've read the report, haven't you?","Tu as lu le rapport, non ?"
"You've read the report, haven't you?","Vous avez lu le rapport, n'est-ce pas ?"
Your advice is always helpful to me.,Votre conseil m'est toujours utile.
Your brother wasn't at school today.,Ton frère n'était pas à l'école aujourd'hui.
Your brother wasn't at school today.,Votre frère n'était pas à l'école aujourd'hui.
Your children are very well behaved.,Vos enfants sont très bien élevés.
Your conduct is absolutely shameful.,Ta conduite est absolument honteuse.
Your conduct is absolutely shameful.,Votre conduite est absolument honteuse.
Your handwriting is similar to mine.,Votre écriture est semblable à la mienne.
Your handwriting is similar to mine.,Ton écriture est semblable à la mienne.
"Your name and flight number, please?","Vos nom et numéro de vol, s'il vous plaît ?"
Your name was dropped from the list.,Ton nom a été retiré de la liste.
Your name was dropped from the list.,Votre nom a été retiré de la liste.
Your saxophone isn't as old as mine.,Ton saxophone n'est pas aussi ancien que le mien.
Your saxophone isn't as old as mine.,Votre saxophone n'est pas aussi ancien que le mien.
Your sudden appearance surprised me.,Ta soudaine apparition m'a étonné.
Your theory has no scientific basis.,Ta théorie n'a pas de fondement scientifique.
Your theory has no scientific basis.,Votre théorie n'a pas de fondement scientifique.
"Do you like traveling? ""Yes, I do.""",« Tu aimes voyager ? » « Oui. »
"Do you speak German? ""No, I don't.""","«Parlez-vous l'allemand ?» «Non, je ne le parle pas.»"
"Does he like music? ""Yes, he does.""","« Aime-t-il la musique ? » « Oui, il aime ça. »"
"I'll be back in a minute, he added.","Je reviens dans une minute, ajouta-t-il."
What should I do? I said to myself.,« Que devrais-je faire ? » me dis-je.
"When do you swim? ""I swim in July.""",« Quand vas-tu nager ? » « En juillet. »
"Why are you angry? ""I'm not angry!""",« Pourquoi es-tu en colère ? » «Je ne suis pas en colère ! »
"Why are you angry? ""I'm not angry!""",« Pourquoi es-tu fâché ? » «Je ne suis pas fâché ! »
"Why are you angry? ""I'm not angry!""",« Pourquoi êtes-vous en colère ? » «Je ne suis pas en colère ! »
"Why are you angry? ""I'm not angry!""",« Pourquoi êtes-vous fâché ? » «Je ne suis pas fâché ! »
A calamity was avoided by sheer luck.,Une calamité a été évitée par pure chance.
A crowd collected to watch the fight.,Une foule se massa pour regarder le combat.
A dollar is equal to a hundred cents.,Un dollar est égal à cent cents.
A fire broke out on the second floor.,Un feu s'est déclaré au premier étage.
A forest fire broke out in this area.,Un feu de forêt se déclara dans cette zone.
A gentleman is always kind to others.,Un gentleman est toujours prévenant envers les autres gens.
A gentleman wouldn't do such a thing.,Un gentleman ne ferait pas une chose pareille.
A girl drowned in the pond yesterday.,Une fille s'est noyée dans la mare hier.
A heavy rain prevented me from going.,Une forte pluie m'a empêché d'y aller.
A hideous monster used to live there.,Un monstre hideux vivait là-bas auparavant.
A lot of tourists invaded the island.,Un groupe de touristes a envahi l'île.
A luxurious carpet covered the floor.,Un luxueux tapis recouvrait le sol.
A mile is equal to about 1600 meters.,Un mile fait environ 1600 mètres.
A mouse went for a walk on the table.,Une souris est allée se promener sur la table.
A problem shared is a problem halved.,Un problème partagé est réduit de moitié.
A sleeping child looks like an angel.,Un enfant endormi ressemble à un ange.
A team is composed of eleven players.,Une équipe est composée de onze joueurs.
A truck was careering along the road.,Un camion roulait à toute vitesse sur la route.
A wise man would not act in that way.,Un homme sage n'agirait pas de cette manière.
A year has passed since he came here.,Une année est passée depuis qu'il est venu ici.
After lunch we have two more classes.,"Après le déjeuner, nous avons deux autres classes."
After lunch we have two more classes.,Nous avons encore deux cours après le déjeuner.
"After the meal, I asked for the bill.","Après le repas, j'ai demandé l'addition."
"After the meal, I asked for the bill.","Après le repas, je demandai l'addition."
All I want for Christmas is a guitar.,"Tout ce que je veux pour Noël, c'est une guitare."
All I want is what's rightfully mine.,Tout ce que je veux est ce qui me revient de droit.
All big cities have traffic problems.,Toutes les grandes villes connaissent des problèmes de circulation.
All contributions are tax deductible.,Toutes les contributions sont déductibles des impôts.
All inventions grow out of necessity.,Toutes les inventions surgissent de la nécessité.
All journeys begin with a first step.,Tous les voyages commencent par un premier pas.
"All of a sudden, a dog began barking.","Tout à coup, un chien se mit à aboyer."
All of these meetings are in English.,L'ensemble de ces réunions sont en anglais.
All the good seats are already taken.,Toutes les bonnes places sont déjà prises.
All the good seats are already taken.,Tous les bons sièges sont déjà pris.
All you have to do is to concentrate.,Tout ce qu'il te faut faire est de te concentrer.
Allow me to introduce my wife to you.,Permettez-moi de vous présenter ma femme.
Almost all the students like English.,À peu près tous les étudiants aiment l'anglais.
"Although he is rich, he is not happy.","Bien qu'il soit riche, il n'est pas heureux."
Always being honest is no easy thing.,Être toujours honnête n'est pas quelque chose de simple.
Always keep your workplace organized.,Garde toujours ton espace de travail en ordre.
Always try to see the best in people.,Essaye toujours de voir le meilleur chez les gens.
Always try to see the best in people.,Essayez toujours de voir le meilleur des gens.
Am I supposed to believe any of that?,Suis-je supposé en gober quoi que ce soit ?
Am I supposed to believe any of that?,Suis-je supposée en gober quoi que ce soit ?
America is ahead in space technology.,L'Amérique est en avance sur la technologie spatiale.
An apple a day keeps the doctor away.,Une pomme par jour tient le docteur au loin.
An apple a day keeps the doctor away.,Une pomme par jour et la santé toujours.
An apple a day keeps the doctor away.,Une pomme par jour éloigne le médecin pour toujours.
An earthquake can happen at any time.,Un tremblement de terre peut survenir à tout moment.
An earthquake destroyed the building.,Un tremblement de terre détruisit le bâtiment.
An old man sat next to me on the bus.,Un vieil homme s'est assis à côté de moi dans le bus.
Any student can answer that question.,N'importe quel étudiant peut répondre à cette question.
Anyone can do it as long as they try.,N'importe qui peut le faire du moment qu'il essaie.
Apes rank above dogs in intelligence.,Les grands singes ont un niveau d'intelligence supérieur à celui des chiens.
"Apparently, we have to do that today.",Apparemment on doit faire ça aujourd'hui.
Arabic is written from right to left.,On écrit l'arabe de droite à gauche.
