Go on.,Poursuis.
Do you want to do it?,Veux-tu le faire ?
Do you want to do it?,Voulez-vous le faire ?
Do you want to drink?,Veux-tu boire ?
Do you want to drink?,Voulez-vous boire ?
Do you want to drink?,Est-ce que tu veux boire ?
Do you want to drink?,Est-ce que vous voulez boire ?
Do you want to go in?,Veux-tu entrer ?
Do you want to go in?,Voulez-vous entrer ?
Do you want to leave?,Vous voulez partir ?
Do you wear a kimono?,Portez-vous un kimono ?
Do your homework now.,Fais tes devoirs maintenant.
Do your homework now.,Faites vos devoirs maintenant.
Do your homework now.,Fais ton travail de classe maintenant.
Does Tom like French?,Tom aime-t-il le français ?
Does anybody hear me?,Quiconque m'entend-il ?
Does anybody hear me?,Qui que ce soit m'entend-il ?
Does anyone disagree?,Quiconque est-il en désaccord ?
Dolphins are curious.,Les dauphins sont curieux.
Don't admit anything.,Ne reconnais rien !
Don't admit anything.,Ne reconnaissez rien !
Don't ask me to help.,Ne me demandez pas d'aider.
Don't ask who she is.,Ne demande pas qui elle est.
Don't ask who she is.,Ne demandez pas qui elle est.
Don't be so careless!,Ne sois pas si négligent !
Don't be so careless!,Ne sois pas si négligente !
Don't be so careless!,Ne soyez pas si négligent !
Don't be so careless!,Ne soyez pas si négligente !
Don't be so careless!,Ne soyez pas si négligents !
Don't be so careless!,Ne soyez pas si négligentes !
Don't be so childish.,Ne sois pas si infantile.
Don't be so childish.,Ne soyez pas si puériles.
Don't be so childish.,Ne faites pas l'enfant.
Don't be so dramatic.,Ne sois pas si dramatique !
Don't be so dramatic.,Ne soyez pas si dramatique !
Don't be so negative.,Ne soyez pas si négatif !
Don't be so negative.,Ne soyez pas si négatifs !
Don't be so negative.,Ne soyez pas si négative !
Don't be so negative.,Ne soyez pas si négatives !
Don't be so negative.,Ne sois pas si négatif !
Don't be so negative.,Ne sois pas si négative !
Don't be so outraged.,Ne sois pas si indigné !
Don't be so outraged.,Ne sois pas si indignée !
Don't be so outraged.,Ne soyez pas si indigné !
Don't be so outraged.,Ne soyez pas si indignée !
Don't be so outraged.,Ne soyez pas si indignés !
Don't be so outraged.,Ne soyez pas si indignées !
Don't be so reserved.,Ne sois pas aussi réservé.
Don't be so reserved.,Ne soyez pas aussi réservé.
Don't be such a fool.,Ne soyez pas si idiot !
Don't be such a fool.,Ne soyez pas si idiote !
Don't be such a fool.,Ne sois pas si idiot !
Don't be such a fool.,Ne sois pas si idiote !
Don't be such a jerk.,Ne sois pas un tel pauvre type !
Don't brake suddenly.,Ne freine pas d'un coup.
Don't brake suddenly.,Ne freinez pas d'un coup.
Don't break my heart.,Ne me brise pas le cœur !
Don't break my heart.,Ne me brisez pas le cœur !
Don't bring your dog.,N'amène pas ton chien avec toi.
Don't call him names.,Ne l'insulte pas.
Don't call him names.,Ne l'insultez pas.
Don't call me a jerk.,Ne me traite pas de pauvre type !
Don't call me a jerk.,Ne me traitez pas de pauvre type !
Don't change a thing.,Ne change rien !
Don't change a thing.,Ne changez rien !
Don't change a thing.,Ne change pas quoi que ce soit !
Don't change a thing.,Ne changez pas quoi que ce soit !
Don't close the door.,Ne ferme pas la porte.
Don't close the door.,Ne fermez pas la porte.
Don't drink anything.,Ne buvez rien !
Don't eat like a pig.,Ne mange pas comme un porc.
Don't eat without me.,Ne mangez pas sans moi !
Don't eat without me.,Ne mange pas sans moi !
Don't exert yourself.,Ne vous manifestez pas.
Don't forget to vote.,N'oublie pas de voter !
Don't forget to vote.,N'oubliez pas de voter !
Don't get me started.,Ne me fais pas démarrer.
Don't get me started.,Ne me faites pas démarrer.
Don't get so excited!,Ne sois pas si excité !
Don't leave me alone.,Ne me laissez pas seul.
Don't let Tom escape.,Ne laisse pas Tom s'échapper.
Don't let Tom escape.,Ne laissez pas Tom s'échapper.
Don't lie. Be honest.,"Ne dis pas de mensonge, sois honnête !"
Don't lie. Be honest.,Ne mentez pas. Soyez honnête !
Don't lie. Be honest.,Ne mentez pas. Soyez honnêtes !
Don't look surprised.,Ne soyez pas surpris.
Don't lose heart now.,Ne te décourage pas maintenant.
Don't lose heart now.,Ne vous découragez pas maintenant.
Don't lose your cool.,Ne perdez pas votre sang-froid.
Don't make fun of me.,Ne te moque pas de moi !
Don't make fun of me.,Ne vous moquez pas de moi !
Don't make fun of me.,Ne te moque pas de moi.
Don't make me choose.,Ne m'oblige pas à choisir.
Don't make me choose.,Ne m'obligez pas à choisir.
Don't make me say it.,Ne me fais pas dire ça.
Don't make me say it.,Ne me faites pas dire ça.
Don't make me say it.,Ne m'oblige pas à le dire.
Don't make me say it.,Ne m'obligez pas à le dire.
Don't make me suffer.,Ne me fais pas souffrir.
Don't make me suffer.,Ne me faites pas souffrir.
Don't open your book.,N'ouvre pas ton livre.
Don't open your book.,N'ouvre pas ton livre !
Don't open your book.,N'ouvrez pas votre livre !
Don't pick your nose.,Ne te cure pas le nez.
Don't play that game.,Ne joue pas à ce jeu.
Don't play that game.,Ne jouez pas à ce jeu.
Don't play with fire.,Ne joue pas avec le feu.
Don't play with fire.,Ne jouez pas avec le feu.
Don't play with fire.,Ne joue pas avec le feu !
Don't pull my sleeve.,Ne tirez pas sur ma manche.
Don't pull my sleeve.,Ne tire pas ma manche.
Don't push your luck.,Ne pousse pas les limites.
Don't push your luck.,Ne tente pas le diable.
Don't rely on others.,Ne comptez pas sur les autres.
Don't shut your eyes.,Ne ferme pas les yeux !
Don't smoke too much.,Ne fume pas trop.
Don't spoil the mood.,Ne casse pas l'ambiance.
Don't talk like that.,Ne parle pas comme ça.
Don't talk to anyone.,Ne parle à personne !
Don't talk to anyone.,Ne parlez à personne !
Don't think about it.,N'y pensez pas.
Don't think about it.,N'y pense pas.
Don't touch anything.,Ne touchez à rien !
Don't touch anything.,Ne touche à rien !
Don't touch my stuff.,Ne touche pas à mes trucs !
Don't touch my stuff.,Ne touchez pas à mes trucs !
Don't try to deny it.,N'essaye pas de le nier.
Don't try to deny it.,N'essayez pas de le nier.
Don't try to fool me.,N'essaie pas de m'arnaquer.
Don't try to fool me.,N'essaie pas de me duper.
Don't try to fool me.,N'essayez pas de m'arnaquer.
Don't try to fool me.,N'essayez pas de me duper.
Don't try to stop me.,N'essaie pas de m'arrêter !
Don't try to stop me.,N'essayez pas de m'arrêter !
Don't wait up for me.,Ne m'attends pas !
Don't wait up for me.,Ne m'attendez pas !
Don't wait up for me.,Ne veillez pas pour moi !
Don't wait up for me.,Ne veille pas pour moi !
Don't worry about it!,Ne te fais pas de souci pour ça !
Don't worry about it!,Ne t'inquiète pas pour ça !
Don't worry about it!,Ne vous faites pas de souci à ce sujet !
Don't worry about it!,Ne te fais pas de souci à ce sujet !
Don't worry about it.,Ne t'inquiète pas à ce sujet.
Don't worry about it.,Ne t'en fais pas !
Don't worry about it.,Ne te soucie pas de cela.
Don't worry about it.,Ne vous en souciez pas.
Don't worry about it.,Ne vous faites pas de souci à ce sujet !
Don't worry about it.,Ne te fais pas de souci à ce sujet !
Don't worry about me.,Ne t'inquiète pas pour moi.
Don't worry about me.,Ne te soucie pas de moi.
Don't worry about me.,Ne vous souciez pas de moi.
Don't worry about us.,Ne vous inquiétez pas pour nous.
Don't worry. It's OK.,Ne t'inquiète pas. Ça va.
Don't you believe me?,Tu ne me crois pas ?
Don't you want to go?,Ne voulez-vous pas y aller ?
Don't you want to go?,Ne voulez-vous pas vous en aller ?
Don't you want to go?,Ne veux-tu pas y aller ?
Don't you want to go?,Ne veux-tu pas t'en aller ?
Draw a straight line.,Dessine une ligne droite.
Drink a lot of water.,Bois beaucoup d'eau.
Drink a lot of water.,Buvez beaucoup d'eau.
Dublin is in Ireland.,Dublin est en Irlande.
Either is acceptable.,N'importe lequel est acceptable.
Either is acceptable.,N'importe laquelle est acceptable.
Every detail matters.,Chaque détail compte.
Everybody blames you.,Tout le monde vous fait des reproches.
Everybody blames you.,Tout le monde te fait des reproches.
Everybody blames you.,Tout le monde vous rend responsable.
Everybody blames you.,Tout le monde te rend responsable.
Everybody is excited.,Tout le monde est excité.
Everybody is focused.,Chacun est concentré.
Everybody knows that.,Tout le monde le sait.
Everybody knows that.,Tous le savent.
Everybody needs help.,Tout le monde a besoin d'aide.
Everybody thought so.,Tout le monde le pensait.
Everybody thought so.,Tout le monde a pensé ça.
Everybody was silent.,Tout le monde était silencieux.
Everybody was silent.,Tout le monde fut silencieux.
Everybody was silent.,Tout le monde a été silencieux.
Everybody's a winner.,Tout le monde y gagne.
Everyone else waited.,Tous les autres attendirent.
Everyone else waited.,Tous les autres ont attendu.
Everyone else waited.,Toutes les autres attendirent.
Everyone else waited.,Toutes les autres ont attendu.
Everyone fell asleep.,Tout le monde s'endormit.
Everyone fell asleep.,Tout le monde s'est endormi.
Everyone is doing it.,Tout le monde le fait.
Everyone is gone now.,"Tout le monde est parti, maintenant."
Everyone is here now.,"Tout le monde est là, maintenant."
Everyone is here now.,Tout le monde est désormais là.
Everyone is outraged.,Tout le monde a été outragé.
Everyone is standing.,Tout le monde se tient debout.
Everyone ran outside.,Tout le monde a couru dehors.
Everyone seems tense.,Tout le monde a l'air tendu.
Everyone stayed calm.,Tout le monde resta calme.
Everyone stayed calm.,Tout le monde est resté calme.
Everyone was shocked.,Tout le monde a été choqué.
Everyone was shocked.,Tout le monde fut choqué.
Everyone was smiling.,Tout le monde souriait.
Everyone was stunned.,Tout le monde fut paralysé.
Everyone's gone home.,Tout le monde est parti chez lui.
Everyone's saying it.,Tout le monde le dit.
"Everyone, say cheese.","Tout le monde, dites «ouistiti»."
Everything is broken.,Tout est cassé.
Everything is broken.,Tout est brisé.
Everything is closed.,Tout est fermé.
Everything is normal.,Tout est normal.
Everything was wrong.,Tout était faux.
Everything went well.,Tout s'est bien passé.
Excuse me one second.,Excuse-moi une seconde.
Excuse me one second.,Excusez-moi une seconde.
Excuse my clumsiness.,Excusez ma maladresse.
"Extension 45, please.","Le poste 45, s'il vous plait."
"Finally, it's Friday.","Enfin, c'est vendredi."
Find the differences.,Trouve les différences !
Find yourself a seat.,Trouve-toi un siège.
Find yourself a seat.,Trouvez-vous une place.
Fish live in the sea.,Les poissons vivent dans la mer.
Flowers attract bees.,Les fleurs attirent les abeilles.
Focus on the details.,Concentre-toi sur les détails.
Fold up your bedding.,Plie ta literie.
France borders Italy.,La France à une frontière avec l'Italie.
Get back to the ship.,Retourne au bateau !
Get back to the ship.,Retournez au bateau !
Get in the back seat.,Monte dans le siège arrière.
Get in the back seat.,Montez dans la banquette arrière.
Get in the back seat.,Mettez-vous dans le siège de derrière.
Get out of my office.,Sors de mon bureau !
Get out of my office.,Sortez de mon bureau !
Get out of our house.,Sortez de notre maison !
Get out of our house.,Sors de notre maison !
Get out of the truck.,Sors du camion !
Get out of the truck.,Sortez du camion !
Get out of the water.,Sors de l'eau !
Get out of the water.,Sortez de l'eau !
"Get some sleep, okay?","Prends un peu de sommeil, d'accord ?"
"Get some sleep, okay?","Prenez un peu de sommeil, d'accord ?"
"Get some sleep, okay?","Repose-toi un peu, d'accord ?"
Get that book for me.,Attrape ce livre pour moi.
Girls aren't welcome.,Les filles ne sont pas bienvenues.
Give a tissue to Tom.,Donne un mouchoir en papier à Tom.
Give me a day or two.,Donne-moi un jour ou deux.
Give me a red pencil.,Donne-moi un crayon rouge.
Give me the car keys.,Donne-moi les clés de la voiture.
Give me the car keys.,Donnez-moi les clés de la voiture.
Give me the diamonds.,Donne-moi les diamants.
Give me the diamonds.,Donnez-moi les diamants.
Give me your address.,Donne-moi ton adresse !
Give me your address.,Donnez-moi votre adresse !
Give that back to me.,Rends-moi ça!
"Give us a minute, OK?","Donne-nous une minute, d'accord ?"
"Give us a minute, OK?","Donnez-nous une minute, d'accord ?"
"Glad to see you, Tom.","Content de te voir, Tom."
"Glad to see you, Tom.","Contente de vous voir, Tom."
"Glad to see you, Tom.","Contente de te voir, Tom."
"Glad to see you, Tom.","Content de vous voir, Tom."
"Go ahead, try it now.","Vas-y, essaye maintenant !"
"Go ahead, try it now.","Allez-y, essayez maintenant !"
Go and open the door.,Va ouvrir la porte.
Go and open the door.,Allez ouvrir la porte.
Go and see who it is.,Va voir qui c'est.
Go and see who it is.,Allez voir qui c'est.
Go back to your room.,Retourne dans ta chambre !
Go back to your room.,Retournez dans votre chambre !
Go back to your seat.,Regagnez votre place.
Go back to your seat.,Retourne à ta place.
Go get your passport.,Va chercher ton passeport.
Go kiss someone else.,Va embrasser quelqu'un d'autre !
Go kiss someone else.,Allez embrasser quelqu'un d'autre !
God bless all of you.,Que Dieu vous bénisse tous.
"Good night, everyone!",Bonne nuit tout le monde !
Has Tom become crazy?,Tom est-il devenu fou ?
Has Tom ever hit you?,Tom t'a-t-il déjà frappé ?
Has anything changed?,Quelque chose est-il différent ?
Has anything changed?,Est-ce que quelque chose a changé ?
Have I convinced you?,Es-tu convaincu ?
Have I convinced you?,Êtes-vous convaincu ?
Have a drink with me.,Prenez un verre avec moi.
Have a drink with me.,Bois un verre avec moi.
Have a great weekend.,Passe un bon week-end.
"Have a nice day, Tom.","Bonne journée, Tom."
Have a nice vacation.,Passe de bonnes vacances.
Have a nice vacation.,Bonnes vacances !
Have it your own way.,Comme vous voudrez.
Have it your own way.,Faites ce qui vous plaira.
Have some pity on me.,Ayez de la compassion à mon égard !
Have some pity on me.,Aie de la compassion à mon égard !
Have you been abroad?,Avez-vous déjà été à l'étranger ?
Have you betrayed me?,M'avez-vous trahi ?
Have you betrayed me?,M'avez-vous trahie ?
Have you betrayed me?,M'as-tu trahi ?
Have you betrayed me?,M'as-tu trahie ?
Have you ever smoked?,As-tu déjà fumé ?
Have you fed the dog?,As-tu nourri le chien ?
Have you fed the dog?,As-tu nourri le chien ?
Have you fed the dog?,Avez-vous nourri le chien ?
Have you finished it?,L'as-tu terminé ?
Have you finished it?,L'avez-vous terminé ?
Have you got a match?,As-tu une allumette ?
Have you got a match?,Disposes-tu d'une allumette ?
Have you got a match?,Avez-vous une allumette ?
Have you got a match?,Disposez-vous d'une allumette ?
Have you heard of me?,Avez-vous entendu parler de moi ?
Have you heard of me?,As-tu entendu parler de moi ?
Have you lost weight?,Avez-vous perdu du poids ?
Have you measured it?,L'as-tu mesuré ?
Have you measured it?,L'as-tu mesurée ?
Have you measured it?,L'avez-vous mesuré ?
Have you measured it?,L'avez-vous mesurée ?
Have you seen enough?,En avez-vous assez vu ?
Have you seen enough?,En as-tu assez vu ?
Have you seen my pen?,Avez-vous vu mon stylo ?
Have you seen my son?,As-tu vu mon fils ?
Have you seen my son?,Avez-vous vu mon fils ?
Have you sold it yet?,L'as-tu déjà vendu ?
Have you sold it yet?,L'as-tu déjà vendue ?
Have you sold it yet?,L'avez-vous déjà vendu ?
Have you sold it yet?,L'avez-vous déjà vendue ?
He accepted her gift.,Il accepta son cadeau.
He achieved his goal.,Il a atteint son but.
He achieved his goal.,Il atteignit son but.
He acted as my guide.,Il fut pour moi un guide.
He aimed at the bird.,Il visa l'oiseau.
He always plays well.,Il joue toujours bien.
He always works hard.,Il travaille toujours dur.
He always works hard.,Il travaille toujours d'arrache-pied.
He and I are cousins.,Lui et moi sommes cousins.
He and I are cousins.,"Lui et moi, nous sommes cousins."
He and I are friends.,Lui et moi sommes amis.
He arrived too early.,Il est arrivé trop tôt.
He asked me for help.,Il m'a demandé de l'aide.
He asked me to do it.,Il m'a demandé de le faire.
He asked me to do it.,Il me demanda de le faire.
He ate it in no time.,Il l'a mangé en peu de temps.
He attained his goal.,Il a atteint son but.
He attained his goal.,Il atteignit son but.
He attained his goal.,Il a atteint son objectif.
He became a Catholic.,Il s'est fait catholique.
He began to feel ill.,Il a commencé à se sentir mal.
He began with a joke.,Il commença par une blague.
He began with a joke.,Il a attaqué par une blague.
He begged me to stay.,Il me supplia de rester.
He bent his head low.,Il inclina profondément la tête.
He breathed his last.,Il rendit son dernier soupir.
He built a new house.,Il construisait une nouvelle maison.
He came into my room.,Il rentra dans ma chambre.
He came into my room.,Il est venu dans ma chambre.
He came to my rescue.,Il est venu à mon secours.
He can be counted on.,On peut compter sur lui.
He cannot be trusted.,On ne peut pas lui faire confiance.
He cannot be trusted.,On ne peut pas se fier à lui.
He caught a big fish.,Il a attrapé un gros poisson.
He caught three fish.,Il prit trois poissons.
He chose a good wife.,Il a choisi une bonne épouse.
He clipped the sheep.,Il a tondu les moutons.
He comes from Geneva.,Il vient de Genève.
He committed suicide.,Il s'est suicidé.
He continued singing.,Il continua à chanter.
He crossed the river.,Il traversa la rivière.
He crossed the river.,Il a traversé la rivière.
He deals in hardware.,Il fait commerce de quincaillerie.
He decided not to go.,Il décida de ne pas s'y rendre.
He decided not to go.,Il décida de ne pas y aller.
He decided not to go.,Il décida de ne pas partir.
He decided not to go.,Il a décidé de ne pas s'y rendre.
He decided not to go.,Il a décidé de ne pas y aller.
He decided not to go.,Il a décidé de ne pas partir.
He denied everything.,Il nia tout.
He denied everything.,Il a tout nié.
He devoured his meal.,Il dévora son repas.
He did as I told him.,Il fit comme je lui avais dit.
He did as I told him.,Il a fait comme je lui ai dit.
He did as I told him.,Il a fait comme je le lui ai dit.
He did it right away.,Il l'a fait sur-le-champ.
He did nothing wrong.,Il n'a rien fait de mal.
He didn't fear death.,Il ne craignait pas la mort.
He didn't get caught.,Il ne s'est pas fait prendre.
He didn't get caught.,Il ne se fit pas prendre.
He didn't look happy.,Il n'avait pas l'air heureux.
He didn't say a word.,Il n'a pas dit un mot.
He didn't say a word.,Il n'a absolument rien dit.
He died one year ago.,Il est mort il y a un an.
He died the next day.,Il mourut le jour suivant.
He died the next day.,Il est mort le jour suivant.
He doesn't get jokes.,Il ne comprend pas la plaisanterie.
He doesn't like fish.,Il n'aime pas le poisson.
He doesn't tell lies.,Il ne dit pas de mensonges.
He dropped his voice.,Il baissa la voix.
He easily gets angry.,Il se met vite en colère.
He emptied his glass.,Il vida son verre.
He fell to the floor.,Il est tombé au sol.
He felt a sharp pain.,Il ressentit une vive douleur.
He filed a complaint.,Il a porté plainte.
He filed a complaint.,Il porta plainte.
He fired three shots.,Il a tiré trois fois.
He gave a short talk.,Il fit un bref discours.
He gave me a big hug.,Il me donna une grande accolade.
He gave me a big hug.,Il me serra très fort.
He gave me a big hug.,Il me serra bien fort.
He gave me this book.,Il m’a donné ce livre.
He gets on my nerves.,Il me tape sur les nerfs.
He got angry with me.,Il s'est mis en colère après moi.
He got bored quickly.,Il s'est vite lassé.
He got bored quickly.,Il se lassa rapidement.
He got his dander up.,Il s'est courroucé.
He got his doctorate.,Il a obtenu son doctorat.
He got off the train.,Il descendit du train.
He got off the train.,Il est descendu du train.
He had fifty dollars.,Il avait 50 dollars.
He had lost all hope.,Il avait perdu tout espoir.
He has a common name.,Il a un nom commun.
He has a dark secret.,Il détient un noir secret.
He has a fair income.,Il a un bon revenu.
He has a few friends.,Il a quelques amis.
He has a foreign car.,Il possède une voiture étrangère.
He has a foreign car.,Il a une voiture étrangère.
He has a good accent.,Il a un bon accent.
He has a good memory.,Il a bonne mémoire.
He has a good memory.,Il a une bonne mémoire.
He has a hairy chest.,Il a le torse poilu.
He has a hairy chest.,Il a le torse velu.
He has a large truck.,Il a un grand camion.
He has a lot of land.,Il détient de nombreuses terres.
He has a nimble mind.,Il a l'esprit agile.
He has a strong body.,Son corps est doté de force.
He has a strong will.,Il a une forte volonté.
He has a sweet voice.,Il a la voix douce.
He has already begun.,Il a déjà commencé.
He has good eyesight.,Il a une bonne vue.
He has no conscience.,Il n'a aucune conscience.
He has no conscience.,Il est dépourvu de conscience.
He has no girlfriend.,Il n'a pas de petite amie.
He has nothing to do.,Il n'a rien à faire.
He has poor eyesight.,Il a une mauvaise vue.
He has powerful arms.,Il a des bras puissants.
He has rough manners.,Il a de rudes manières.
He has to study hard.,Il doit étudier avec application.
He has two daughters.,Il a deux filles.
He has very bad luck.,Il a la poisse.
He held out his hand.,Il lui a serré la main.
He held out his hand.,Il tendit la main.
He held up his hands.,Il avait les mains en l'air.
He hit me by mistake.,Il m'a frappé par erreur.
He insulted our team.,Il a insulté notre équipe.
He is a cruel person.,C'est un homme cruel.
He is a fast speaker.,Il parle vite.
He is a good speaker.,C'est un bon orateur.
He is a good student.,C'est un bon étudiant.
He is a good swimmer.,C'est un bon nageur.
He is a handsome man.,C'est un bel homme.
He is a harsh critic.,C'est un critique acerbe.
He is a lazy student.,C'est un étudiant paresseux.
He is a man of faith.,C'est un homme de foi.
He is a tough cookie.,C'est un emmerdeur.
He is about to leave.,Il est sur le point de sortir.
He is about your age.,Il a environ votre âge.
He is afraid of dogs.,Il a peur des chiens.
He is afraid to swim.,Il a peur de nager.
He is always reading.,Il est toujours en train de lire.
He is always reading.,Il lit à longueur de temps.
He is always with me.,Il est toujours avec moi.
He is an angry drunk.,Il a le vin mauvais.
He is an unsung hero.,C'est un héros inconnu.
He is angry with you.,Il est en colère après toi.
He is angry with you.,Il est furieux contre vous.
He is as tall as her.,Il est aussi grand qu'elle.
He is away from home.,Il est loin de chez lui.
He is bad at driving.,C'est un mauvais conducteur.
He is breathing hard.,Il respire avec difficulté.
He is close to sixty.,Il a près de soixante ans.
"He is cool, isn't he?","Il est cool, pas vrai ?"
He is far from happy.,Il est loin d'être heureux.
He is far from happy.,Il n'est vraiment pas heureux.
He is five feet tall.,Il mesure cinq pieds.
He is full of energy.,Il est plein d'énergie.
He is getting better.,Il va mieux.
He is good at diving.,Il est bon plongeur.
He is good at soccer.,Il est bon au foot.
He is hard to please.,Il est difficile de le satisfaire.
He is his own master.,Il est son propre maître.
He is his usual self.,Il est pareil à lui-même.
He is in his library.,Il est dans sa bibliothèque.
He is in poor health.,Il est en mauvaise santé.
He is in the kitchen.,Il est dans la cuisine.
He is in trouble now.,Il est dans le pétrin.
He is likely to come.,Il va probablement venir.
He is making cookies.,Il est en train de faire des cookies.
He is making cookies.,Il confectionne des biscuits.
He is my best friend.,C'est mon meilleur ami.
He is my best friend.,Il est mon meilleur ami.
He is now on his own.,Il est désormais à son compte.
He is off duty today.,Il n'est pas en service aujourd'hui.
He is precious to us.,Il est précieux pour nous.
He is quite a savage.,Il est assez sauvage.
He is reading a book.,Il lit un livre.
He is reading a book.,Il est en train de lire un livre.
He is sadly mistaken.,Il se trompe complètement.
He is still standing.,Il est toujours debout.
He is the chosen one.,Il est l'élu.
He is very depressed.,Il est très déprimé.
He is very depressed.,Il est fort déprimé.
He is wearing gloves.,Il porte des gants.
He is willing enough.,Il a suffisamment de volonté.
He isn't an American.,Il n'est pas américain.
"He isn't here, is he?","Il n'est pas là, non ?"
He jumped out of bed.,Il a sauté du lit.
He jumped out of bed.,Il sauta hors du lit.
He knew it all along.,Il le savait depuis le départ.
He knows how to swim.,Il sait nager.
He knows many people.,Il connaît beaucoup de gens.
He laid down the gun.,Il baissa son révolver.
He laughed nervously.,Il rit nerveusement.
He laughed nervously.,Il a ri nerveusement.
He leaned towards me.,Il se pencha dans ma direction.
He left a minute ago.,Il est parti il y a une minute.
He left a minute ago.,Il y a une minute qu'il est parti.
He likes music a lot.,Il aime beaucoup la musique.
He likes this guitar.,Il aime cette guitare.
He likes to watch TV.,Il aime regarder la télévision.
He likes watching TV.,Il aime regarder la télévision.
He lived a hard life.,Il a vécu une dure vie.
He lived a long life.,Il a vécu une longue vie.
He lives in Nagasaki.,Il vit à Nagasaki.
He lives in Nagasaki.,Il habite à Nagasaki.
He lives like a king.,Il vit comme un roi.
He looked at the sky.,Il regarda le ciel.
He looked bewildered.,Il avait l'air déconcerté.
He looked very happy.,Il avait l'air très heureux.
He looked very tired.,Il avait l'air très fatigué.
He looks like a girl.,Il a l'air d'une fille.
He looks very sleepy.,Il a l'air très endormi.
He lost his eyesight.,Il a perdu la vue.
He lost his eyesight.,Il perdit la vue.
He made for the door.,Il se tourna vers la porte.
He made her his wife.,Il a fait d'elle sa femme.
He made her his wife.,Il fit d'elle sa femme.
He made up an excuse.,Il a inventé une excuse.
He made up an excuse.,Il s'inventa une excuse.
He made up the story.,Il a monté toute cette histoire.
He managed to escape.,Il a réussi à s'évader.
He managed to escape.,Il a réussi à s'échapper.
He married my cousin.,Il épousa ma cousine.
He married my cousin.,Il épousa mon cousin.
He married my cousin.,Il a épousé mon cousin.
He married my sister.,Il s'est marié avec ma sœur.
He may have been ill.,Il était peut-être malade.
He missed his flight.,Il a loupé son vol.
He missed his flight.,Il loupa son vol.
He missed his flight.,Il a raté son vol.
He must have seen it.,Il doit l'avoir vu.
He needs to be alone.,Il a besoin d'être seul.
He never looked back.,Il n’a jamais regardé en arrière.
He never tells a lie.,Il ne ment jamais.
He never told anyone.,Il ne le dit jamais à personne.
He never told anyone.,Il ne l'a jamais dit à personne.
He never told anyone.,Il ne l'a jamais dit à quiconque.
He never wears a tie.,Il ne met jamais de cravate.
He often plays piano.,Il joue souvent du piano.
He ordered us steaks.,Il nous a commandé des steaks.
He owns a dishwasher.,Il possède un lave-vaisselle.
He picked up a stone.,Il ramassa une pierre.
He raised a question.,Il a soulevé une question.
He ran at full speed.,Il courait à toute vitesse.
He ran away from her.,Il s'éloigna d'elle.
He ran away from her.,C'est lui qui s'est éloigné d'elle.
He ran into the room.,Il entra en courant dans la pièce.
He ran outside naked.,"Il courut dehors, nu."
He ran outside naked.,Il a couru nu dehors.
He ran up the stairs.,Il courut au haut des escaliers.
He ran up the stairs.,Il courut en haut de l'escalier.
He rang the doorbell.,Il sonna la cloche de l'entrée.
He rarely went there.,Il y est rarement allé.
He removed his shirt.,Il tomba la chemise.
He removed his shirt.,Il retira sa chemise.
He removed his shirt.,Il a ôté sa chemise.
He removed his shirt.,Il a retiré sa chemise.
He removed his shirt.,Il a tombé la chemise.
He returned to Japan.,Il est retourné au Japon.
He returned to Japan.,Il retourna au Japon.
He said it as a joke.,Il l'a dit pour plaisanter.
He said it as a joke.,Il l'a dit par plaisanterie.
He said it as a joke.,Il le disait pour blaguer.
He saw a pretty girl.,Il vit une jolie fille.
He screamed for help.,Il a crié à l'aide.
He seems quite happy.,Il semble assez content.
He seems to be happy.,Il semble être heureux.
He seems to think so.,Il semble penser cela.
He seems very sleepy.,Il semble très endormi.
He seldom gets angry.,Il se met rarement en colère.
He seldom went there.,Il y est rarement allé.
He sent me a present.,Il m'envoya un cadeau.
He sold all his land.,Il a vendu tout son terrain.
He speaks Portuguese.,Il parle portugais.
He spoke about peace.,Il a parlé de paix.
He spoke about peace.,Il parla de paix.
He studied very hard.,Il a étudié très dur.
He studied very hard.,Il étudia très dur.
He studies very hard.,Il étudie dur.
He suddenly fell ill.,Il est subitement tombé malade.
He survived his wife.,Il a survécu à sa femme.
He swims like a fish.,Il nage comme un poisson.
He talked to himself.,Il se parla à lui-même.
He thinks I love her.,Il pense que je l'aime.
He took off his coat.,Il enleva son manteau.
He tore his ligament.,Il s'est étiré le ligament.
He trained very hard.,Il s'est entraîné très dur.
He tried to stand up.,Il a essayé de se lever.
He turned the corner.,Il tourna au coin.
He turned the corner.,Il a tourné au coin.
He used to live here.,Il habitait ici autrefois.
He used to love that.,Il adorait ça.
He wanted to be rich.,Il voulait être riche.
He wanted to meet me.,Il voulait me rencontrer.
He wanted to succeed.,Il voulait réussir.
He wants red glasses.,Il veut des lunettes rouges.
He wants to kiss her.,Il veut l'embrasser.
He wants to meet you.,Il veut vous rencontrer.
He wants to meet you.,Il veut te rencontrer.
He was a good friend.,Il était un bon ami.
He was drunk on beer.,Il s'est saoulé à la bière.
He was elected mayor.,Il a été élu maire.
He was fully clothed.,Il était entièrement vêtu.
He was fully clothed.,Il était entièrement habillé.
He was in the shower.,Il était dans la douche.
He was in the shower.,Il était sous la douche.
He was made to do so.,Il était obligé d'agir de la sorte.
He was not impressed.,Il ne fut pas impressionné.
He was not impressed.,Il n'a pas été impressionné.
He was out of breath.,Il était essoufflé.
He was out of breath.,Il était hors d'haleine.
